ïmedianearnings,meanearnings,emprate,laborpart,percentemploymentstatuscivilianl,dpark,dmarket,test,id,id2,geography,govworkers,bachelorsorhigher,mtraveltime,nonag,selfemp,financesectorinvest,oldagedepratio,meanhousingsize,occhealth2,popdensity,v22,v23,v24,estimatesexandagetotalpopulation,estimateemploymentstatuspopulati,v27,sqmiles,estimateinthelaborforceemployedw,v30,estimateinthelaborforcenoninst,v32,occhealth,latitude,longitude
28895,71265,94.6,67.2,5.4,13.9031,17.80332,.5128947,"1400000US23011023002",2.301e+10,"Census Tract 230.02, Kennebec County, Maine",14.4,24.7,21.7,97.4,8.3,7.4,27.5,2.515,.964,118.9025,"1400000US23011023002",2.301e+10,"Census Tract 230.02, Kennebec County, Maine",3800,3064,5.4,31.959,69,,1917,69,.0359937,44.52026,-69.5701
30065,54930,91.1,57.1,8.9,18.49114,19.63668,.4265544,"1400000US23011024101",2.301e+10,"Census Tract 241.01, Kennebec County, Maine",13.5,27.6,18.5,93.3,7,2.4,23.3,2.205,.841,1463.897,"1400000US23011024101",2.301e+10,"Census Tract 241.01, Kennebec County, Maine",4037,3309,8.9,2.758,285,,1787,285,.1594852,44.57375,-69.62893
19970,43531,73.7,52.2,26.3,17.63103,17.8768,.2977769,"1400000US23011024102",2.301e+10,"Census Tract 241.02, Kennebec County, Maine",10.2,21.2,19.2,97.5,6.2,3.9,19,2.34,.91,3358.418,"1400000US23011024102",2.301e+10,"Census Tract 241.02, Kennebec County, Maine",5128,3974,26.3,1.527,183,,2043,183,.0895742,44.548,-69.63533
9771,56704,97.1,48.7,2.9,18.88057,16.36389,.4211508,"1400000US23011024200",2.301e+10,"Census Tract 242, Kennebec County, Maine",13,25.7,12.9,100,4.1,4.5,39.2,1.78,.94,749.6211,"1400000US23011024200",2.301e+10,"Census Tract 242, Kennebec County, Maine",6969,6259,2.9,9.297,167,,2805,167,.0595365,44.53583,-69.6766
29065,70980,94.7,63.6,5.3,23.15332,18.70023,.4964505,"1400000US23011025000",2.301e+10,"Census Tract 250, Kennebec County, Maine",21.9,22.5,20.1,97.1,8,1.4,30.6,2.455,.91,241.4672,"1400000US23011025000",2.301e+10,"Census Tract 250, Kennebec County, Maine",6198,5107,5.3,25.668,267,,2962,267,.0901418,44.57997,-69.74024
31319,64391,97.1,55.2,2.9,1.996209,34.7414,.4649431,"1400000US23013970200",2.301e+10,"Census Tract 9702, Knox County, Maine",9.3,43.8,12.8,91.6,16.7,7.7,56,1.92,.963,265.0786,"1400000US23013970200",2.301e+10,"Census Tract 9702, Knox County, Maine",4835,4194,2.9,18.24,74,,2004,74,.0369261,44.22927,-69.08843
27389,59281,94.8,65.2,5.2,8.442722,23.95886,.4896819,"1400000US23013970300",2.301e+10,"Census Tract 9703, Knox County, Maine",14,26.5,26.6,98.3,14.5,5.3,27.2,2.485,.936,55.88672,"1400000US23013970300",2.301e+10,"Census Tract 9703, Knox County, Maine",6978,5538,5.2,124.86,209,,3271,209,.0638948,44.25385,-69.30297
26563,58553,91.8,60.8,8.2,8.508989,30.40106,.469385,"1400000US23013970400",2.301e+10,"Census Tract 9704, Knox County, Maine",14.6,18.2,17.9,97.4,8.6,7.1,22.7,2.285,.933,130.295,"1400000US23013970400",2.301e+10,"Census Tract 9704, Knox County, Maine",7480,6322,8.2,57.408,233,,3461,233,.0673216,44.12243,-69.22599
31583,73734,96.6,64.4,3.4,5.049175,33.86198,.502685,"1400000US23013970500",2.301e+10,"Census Tract 9705, Knox County, Maine",11.5,44.1,14.6,96.6,15.3,9.2,46.7,2.505,.965,154.9095,"1400000US23013970500",2.301e+10,"Census Tract 9705, Knox County, Maine",3352,2706,3.4,21.638,50,,1437,50,.0347947,44.18045,-69.1217
23269,45910,90.3,63,9.7,3.650002,35.82433,.4685956,"1400000US23013970600",2.301e+10,"Census Tract 9706, Knox County, Maine",9.9,22.1,12.9,95.6,9.6,4.3,27.2,2.135,.96,1475.761,"1400000US23013970600",2.301e+10,"Census Tract 9706, Knox County, Maine",2834,2400,9.7,1.92,52,,1290,52,.0403101,44.09547,-69.12313
