learn,lemp,lpart,ledu,linvest,lgov,lselfemp,leconmix,lolddep,lhousing,lhealth,lpopd,lmtravel,dmarket,dpark
10.47844,-.5586737,4.264087,3.577948,2.163323,2.714695,2.163323,4.537961,3.299534,.7561221,-.0491902,4.911773,3.514526,17.71695,5.419634
10.16996,-.7443584,4.149464,3.131137,1.568616,2.091864,1.629241,4.602166,3.421,.8940451,-.0812101,4.813013,3.459466,17.50603,4.348881
10.47144,-.6547238,4.175924,3.356897,1.987874,1.856298,2.415914,4.575741,3.580737,.7443155,-.0618754,4.823097,3.566712,22.82645,4.840894
10.33485,-.756061,4.025352,3.356897,1.547562,2.734367,2.753661,4.60517,3.775057,.7608059,-.0608122,4.430952,3.427515,21.77421,13.01812
10.20293,-.8069173,4.051785,3.387774,2.433613,2.549445,1.609438,4.60517,3.437208,.9082586,-.0010005,4.544927,3.206803,25.8383,11.42666
10.33906,-.6627929,4.144721,3.246491,1.589235,2.631889,2.230014,4.550714,3.377588,.8197798,-.0387408,3.802259,3.605498,26.40564,6.962924
10.56996,-.6272027,4.247066,3.391147,2.272126,2.639057,2.00148,4.558079,2.960105,.8960881,-.0314907,4.999546,3.520461,18.81626,10.515
9.987139,-.6313661,4.18205,3.33577,2.163323,2.360854,2.174752,4.60517,3.091043,.9102726,-.0555127,5.364476,3.246491,18.3587,7.403458
10.50202,-.7326364,4.030694,3.977811,1.902107,2.484907,2.484907,4.600158,4.097672,.7793249,-.0294288,5.071668,3.490428,15.22311,5.022028
10.48755,-.7589487,4.007333,3.802208,2.104134,2.424803,2.99072,4.598145,4.197202,.7816158,-.0222456,5.486125,3.356897,17.20762,7.127974
10.54534,-.5595601,4.330733,3.777348,2.493206,2.388763,1.931521,4.591071,3.039749,1.042042,-.0377019,5.741671,2.912351,8.112818,5.924381
10.65257,-.6379795,4.213608,3.988984,2.332144,2.397895,1.84055,4.573679,3.632309,.8153648,-.0232686,6.361402,3.039749,5.796477,2.704442
10.61764,-.6836834,4.094345,3.975936,2.379546,2.292535,1.629241,4.592085,3.828641,.6981347,-.0283995,6.317018,3.034953,7.806211,1.036049
10.09448,-.6296748,4.12552,3.624341,2.028148,2.370244,2.74084,4.594109,3.691376,.7080358,-.0470916,2.016216,3.12676,52.96186,19.39412
9.979476,-.7845435,4.079231,2.873565,.4700036,2.747271,2.00148,4.588024,3.777348,.65752,-.1120495,-.0525526,2.772589,77.07037,23.86612
10.16973,-.6831324,4.110874,3.459466,1.974081,2.901422,2.980619,4.577799,3.916015,.8020016,-.0877389,2.386401,2.617396,63.60438,2.30474
10.11545,-1.026656,3.908015,2.839078,1.481605,2.60269,2.476538,4.59512,3.360375,.9360933,-.076881,2.111928,3.493473,48.91756,7.5674
10.13575,-.8452187,4.043051,3.044523,1.526056,2.833213,2.572612,4.582925,3.273364,.980204,-.0629398,3.231767,3.226844,37.40702,10.52417
10.17099,-.7162147,4.168214,3.044523,1.223776,2.646175,2.251292,4.563306,3.299534,.9419585,-.0747236,3.589276,3.377588,23.57898,18.82396
9.535391,-.6774811,4.130355,3.575151,1.791759,2.694627,2.028148,4.599152,3.367296,.8712934,-.0314907,4.916469,2.939162,30.98191,12.77827
10.19429,-.9291716,3.977811,3.109061,2.014903,2.839078,2.370244,4.598145,3.676301,.9042181,-.0672087,4.580151,3.058707,31.89807,9.491817
10.23427,-.6051829,4.261271,3.034953,1.223776,2.388763,2.312536,4.596129,3.295837,.8109302,-.026344,4.580591,3.277145,25.30792,16.78602
10.15253,-.783249,4.07244,2.867899,1.704748,2.282382,2.70805,4.60517,3.387774,.9042181,-.0899247,.9372377,3.437208,28.6524,31.22131
10.33812,-.564516,4.278054,3.404525,1.481605,2.484907,2.230014,4.589041,2.867899,.8816993,-.0672087,3.666084,3.303217,13.81965,20.49327
10.16689,-.8322207,4.102643,2.944439,1.029619,2.833213,2.104134,4.581902,3.48124,.7202759,-.1531512,4.562109,3.246491,12.07902,11.96301
10.20917,-.6372109,4.12552,3.152736,1.193922,2.714695,2.116256,4.542231,3.453157,.7395536,-.05975,3.936681,3.277145,17.29323,9.1244
10.18584,-.8269404,4.041296,3.242592,1.526056,2.747271,1.686399,4.587006,3.430756,.7395536,-.1020327,5.32963,3.039749,26.40887,8.178399
10.35147,-.6916309,4.19268,3.490428,1.193922,2.493206,2.174752,4.566429,3.650658,.7929925,-.046044,4.274466,3.306887,20.55315,14.02367
10.0065,-.802815,4.092677,2.985682,1.029619,2.360854,2.727853,4.602166,3.532226,.8878913,-.0998204,3.728166,3.453157,35.59821,8.341074
10.15027,-.873621,4.007333,3.310543,1.098612,2.867899,3.100092,4.526127,3.7612,.8064759,-.0801261,3.624851,3.269569,44.03786,11.06466
10.03438,-.6198974,4.226834,3.988984,1.987874,2.208274,2.753661,4.583947,3.109061,.6881347,-.026344,4.837492,2.617396,38.61072,4.318739
10.60408,-.7245077,4.034241,3.949319,1.987874,2.747271,2.580217,4.518522,4.021774,.6780335,-.0429075,3.947657,2.95491,39.99199,2.316644
10.34888,-.5897777,4.237001,3.666122,1.568616,2.140066,3.148453,4.531524,3.616309,.7770286,-.0212237,4.792319,2.667228,46.16284,3.97102
10.26287,-.6478606,4.158883,3.433987,1.774952,2.251292,3.314186,4.543295,3.642836,.7153978,-.0325232,3.905562,2.980619,49.42915,14.74199
10.22875,-.650939,4.198705,3.730501,1.589235,2.923162,2.433613,4.584968,3.424263,.7080358,-.0418642,3.759241,3.377588,28.13691,12.46097
9.34871,-.9385315,3.817712,3.747149,.7419373,2.960105,3.049273,4.60517,3.563883,.7907275,-.0345914,3.977992,3.086487,24.38172,3.875218
10.12551,-.7749055,4.043051,3.754199,1.029619,2.572612,3.139833,4.568506,4.016383,.7466879,-.0397808,3.647007,3.165475,33.93516,12.23294
10.16747,-.8689618,3.931826,3.453157,-.1053605,2.091864,3.427515,4.598145,4.11741,.7323679,-.0608122,4.340238,2.879198,41.0209,12.73018
10.2416,-.6473984,4.177459,3.165475,1.335001,2.459589,2.406945,4.563306,3.54674,.7724203,-.0629398,4.451187,3.178054,31.54228,3.045437
10.13884,-.6281116,4.218036,3.246491,1.131402,2.980619,1.88707,4.579853,3.549617,.7584667,-.0954102,5.379876,2.912351,5.070194,16.12061
10.07078,-.7200918,4.168214,3.306887,1.902107,3.214868,2.091864,4.475061,3.218876,.7701083,-.036664,5.625969,2.833213,3.568671,20.24034
10.20961,-.8487113,3.983413,3.387774,1.308333,3.152736,1.856298,4.560173,3.328627,.7006192,-.0888312,6.73086,2.70805,1.663287,19.59584
10.43241,-1.05169,3.73767,3.222868,1.987874,3.446808,1.252763,4.590056,3.740048,.6205765,-.1719753,6.944949,2.76001,.8621252,18.68366
10.2756,-.8965054,4.025352,3.144152,1.163151,3.178054,.9555114,4.507557,3.618993,.8458682,-.0491902,5.857656,2.912351,3.677682,14.37635
10.33864,-.7129107,4.139955,2.928524,1.609438,3.169686,1.648659,4.570579,3.288402,.8109302,-.0833816,4.889525,3.238678,7.733922,13.02567
10.29722,-.7339349,4.092677,3.830813,1.193922,3.165475,2.302585,4.550714,3.663562,.6549259,-.0439519,6.023321,2.873565,2.500705,19.10699
10.56292,-.630176,4.174387,3.686376,2.219203,2.747271,2.140066,4.591071,3.407842,.8263661,-.026344,4.782645,3.095578,4.656925,22.59943
10.42594,-.772714,4.177459,3.306887,1.098612,3.234749,2.174752,4.60517,3.520461,.7104959,-.0512933,5.168754,3.295837,6.418287,19.93777
10.18663,-.8123816,4.063885,2.809403,.0953102,2.76001,2.753661,4.551769,3.284664,.7030975,-.098716,6.728955,3.034953,5.992967,17.21323
10.44427,-.6639799,4.19419,3.265759,1.163151,3.034953,1.504077,4.564348,3.005683,.8372475,-.0314907,5.724896,3.206803,9.46854,17.0681
10.47565,-.7307807,4.149464,2.970414,1.791759,2.753661,2.028148,4.60517,3.214868,.737164,-.0449974,4.566295,3.465736,12.27098,22.29347
10.40499,-.6560925,4.22391,3.214868,1.609438,3.034953,2.251292,4.583947,3.054001,.8020016,-.0640053,4.779843,3.453157,12.82607,21.14408
10.38208,-.6552466,4.207673,3.394508,1.029619,3.049273,1.84055,4.594109,3.370738,.8816993,-.1075852,5.25945,3.222868,9.102168,26.4359
10.47729,-.7658806,4.037774,3.532226,1.029619,3.11795,2.572612,4.546481,3.589059,.8565407,-.0304592,3.807535,3.538057,15.55815,27.30033
10.47458,-.592036,4.207673,3.797734,1.504077,3.306887,1.740466,4.558079,3.246491,.8109302,-.0387408,4.469739,3.456317,9.584475,27.50582
10.31377,-.7120889,4.143135,3.511545,1.481605,2.99072,2.04122,4.563306,3.446808,.8858315,-.0534008,3.613846,3.433987,16.10452,26.29566
10.42594,-.8045971,4.102643,3.465736,1.029619,3.254243,2.332144,4.563306,3.269569,.8816993,-.0345914,4.287663,3.254243,14.95078,25.75431
10.34699,-.6842123,4.200205,3.182212,1.335001,3.068053,2.322388,4.590056,3.030134,.9380522,-.0294288,4.60738,3.206803,8.892161,20.41304
10.33812,-.6614275,4.258446,3.058707,.6418539,2.99072,2.151762,4.587006,2.95491,1.007958,-.0470916,4.57917,3.363842,10.35065,15.11173
10.29661,-.7033876,4.177459,2.970414,.7419373,3.317816,2.631889,4.600158,3.077312,.9419585,-.05975,4.299352,3.292126,10.24415,10.13204
10.3244,-.7255002,4.18205,3.039749,1.458615,3.072693,2.028148,4.59512,2.895912,.9001614,-.071496,4.450228,3.374169,14.06365,9.385465
10.18244,-.7399785,4.122284,2.867899,.9162908,2.901422,1.568616,4.467057,3.356897,.8816993,-.0555127,3.698713,3.280911,23.2962,10.77859
10.27983,-.8874729,3.966511,2.219203,1.163151,1.824549,.7884574,4.579853,3.005683,.9516578,-.0387408,4.341068,3.218876,27.04409,20.26753
10.31414,-.7489631,4.070735,2.493206,-.356675,2.312536,2.312536,4.374498,3.543854,.8241754,-.0801261,4.543345,3.063391,23.27451,15.78665
10.35743,-.7859579,4.099332,3.238678,2.04122,3.015535,1.824549,4.566429,3.427515,.7952524,-.071496,6.671497,2.906901,19.55724,16.56158
